fips_code,fips5,median_income,il50_p4,il80_p4
0100199999,01001,83600,41800,66900
0100399999,01003,93000,46500,74400
0100599999,01005,65300,36100,57750
0100799999,01007,95900,47950,76700
0100999999,01009,95900,47950,76700
0101199999,01011,49700,36100,57750
0101399999,01013,69600,36100,57750
0101599999,01015,74000,37000,59200
0101799999,01017,68400,36100,57750
0101999999,01019,71700,36300,58100
0102199999,01021,80100,40050,64100
0102399999,01023,71300,36300,58100
0102599999,01025,78400,37500,60000
0102799999,01027,66700,36100,57750
0102999999,01029,82900,39700,63500
0103199999,01031,86400,43200,69100
0103399999,01033,82400,41200,65900
0103599999,01035,60100,36100,57750
0103799999,01037,73900,36950,59100
0103999999,01039,70800,36300,58100
0104199999,01041,71900,36300,58100
0104399999,01043,83500,40650,65050
0104599999,01045,75400,37700,60300
0104799999,01047,57000,36100,57750
0104999999,01049,59700,36100,57750
0105199999,01051,83600,41800,66900
0105399999,01053,65300,36100,57750
0105599999,01055,70600,36300,58100
0105799999,01057,77700,36150,57800
0105999999,01059,71300,36100,57750
0106199999,01061,78200,39100,62550
0106399999,01063,47100,36100,57750
0106599999,01065,91100,45550,72900
0106799999,01067,85500,42750,68400
0106999999,01069,78200,39100,62550
0107199999,01071,68100,36100,57750
0107399999,01073,95900,47950,76700
0107599999,01075,64800,36300,58100
0107799999,01077,82400,41200,65900
0107999999,01079,95200,44800,71700
0108199999,01081,95300,47650,76250
0108399999,01083,115500,57750,92400
0108599999,01085,83600,41800,66900
0108799999,01087,58900,36100,57750
0108999999,01089,115500,57750,92400
0109199999,01091,78600,38850,62150
0109399999,01093,72200,36300,58100
0109599999,01095,85100,37200,59500
0109799999,01097,81500,40750,65200
0109999999,01099,65800,36100,57750
0110199999,01101,83600,41800,66900
0110399999,01103,95200,44800,71700
0110599999,01105,44400,36100,57750
0110799999,01107,66500,36100,57750
0110999999,01109,77700,38850,62150
0111199999,01111,73500,36150,57800
0111399999,01113,79300,38500,61600
0111599999,01115,95900,47950,76700
0111799999,01117,95900,47950,76700
0111999999,01119,51300,36100,57750
0112199999,01121,73600,36700,58700
0112399999,01123,76100,36750,58800
0112599999,01125,91100,45550,72900
0112799999,01127,77900,38950,62300
0112999999,01129,91700,39150,62600
0113199999,01131,58900,36100,57750
0113399999,01133,69800,36100,57750
0201399999,02013,85200,48150,77050
0201699999,02016,136700,64700,103500
0202099999,02020,129000,64500,103200
0205099999,02050,79800,55350,88550
0206099999,02060,117200,58600,93750
0206399999,02063,114300,57150,91450
0206699999,02066,106600,53300,85300
0206899999,02068,147000,73500,104200
0207099999,02070,82200,48150,77050
0209099999,02090,114900,57450,91900
0210099999,02100,110300,55150,88250
0210599999,02105,92600,48150,77050
0211099999,02110,128700,64350,102950
0212299999,02122,111600,55800,89300
0213099999,02130,119300,59650,95450
0215099999,02150,113100,56550,90500
0215899999,02158,53600,48150,77050
0216499999,02164,71000,48150,77050
0217099999,02170,120600,56850,90950
0218099999,02180,82000,48150,77050
0218599999,02185,102200,52600,84150
0218899999,02188,86800,54800,87700
0219599999,02195,102400,51200,81900
0219899999,02198,82800,48150,77050
0222099999,02220,122000,61000,97600
0223099999,02230,125100,58750,94000
0224099999,02240,96300,48150,77050
0227599999,02275,79700,48150,77050
0228299999,02282,109800,54900,87850
0229099999,02290,68000,48150,77050
0400199999,04001,55300,35000,56000
0400399999,04003,71200,35600,56950
0400599999,04005,101900,54550,87250
0400799999,04007,76100,38200,61100
0400999999,04009,81100,40550,64900
0401199999,04011,88400,44200,70700
0401299999,04012,66700,35000,56000
0401399999,04013,109600,56100,89750
0401599999,04015,73800,38550,61700
0401799999,04017,67200,35150,56250
0401999999,04019,96100,48050,76900
0402199999,04021,109600,56100,89750
0402399999,04023,66100,35000,56000
0402599999,04025,87300,45300,72500
0402799999,04027,76200,36300,58100
0500199999,05001,78300,38600,61750
0500399999,05003,65100,33550,53700
0500599999,05005,66600,33550,53700
0500799999,05007,101800,50900,81450
0500999999,05009,75000,37500,60000
0501199999,05011,67900,33950,54300
0501399999,05013,78800,38150,61050
0501599999,05015,79800,39900,63850
0501799999,05017,60000,33550,53700
0501999999,05019,73000,36500,58400
0502199999,05021,62000,33550,53700
0502399999,05023,74200,37100,59350
0502599999,05025,75200,35600,56950
0502799999,05027,69300,34650,55450
0502999999,05029,66700,33550,53700
0503199999,05031,79300,39650,63450
0503399999,05033,80600,36300,58100
0503599999,05035,91100,45550,72900
0503799999,05037,66700,33550,53700
0503999999,05039,76300,38150,61050
0504199999,05041,48300,33550,53700
0504399999,05043,66400,33550,53700
0504599999,05045,92700,46350,74150
0504799999,05047,68500,34250,54800
0504999999,05049,52500,33550,53700
0505199999,05051,73100,36550,58500
0505399999,05053,100800,45450,72700
0505599999,05055,72200,36100,57750
0505799999,05057,70100,35050,56100
0505999999,05059,70100,35050,56100
0506199999,05061,64000,33550,53700
0506399999,05063,71100,35550,56900
0506599999,05065,64000,33550,53700
0506799999,05067,59700,33550,53700
0506999999,05069,66000,33550,53700
0507199999,05071,64800,33550,53700
0507399999,05073,64600,33550,53700
0507599999,05075,66600,33550,53700
0507799999,05077,50600,33550,53700
0507999999,05079,67000,33550,53700
0508199999,05081,79500,39750,63600
0508399999,05083,76000,37600,60150
0508599999,05085,92700,46350,74150
0508799999,05087,101800,50900,81450
0508999999,05089,63700,33550,53700
0509199999,05091,71500,39700,63500
0509399999,05093,67900,33950,54300
0509599999,05095,74200,37100,59350
0509799999,05097,64200,33550,53700
0509999999,05099,53400,33550,53700
0510199999,05101,70700,35350,56550
0510399999,05103,69100,34550,55300
0510599999,05105,92700,46350,74150
0510799999,05107,54500,33550,53700
0510999999,05109,73000,36500,58400
0511199999,05111,66100,33550,53700
0511399999,05113,66200,33550,53700
0511599999,05115,76000,37150,59450
0511799999,05117,87400,38400,61450
0511999999,05119,92700,46350,74150
0512199999,05121,70100,35050,56100
0512399999,05123,55400,33550,53700
0512599999,05125,92700,46350,74150
0512799999,05127,63200,33550,53700
0512999999,05129,57300,33550,53700
0513199999,05131,80600,36300,58100
0513399999,05133,67000,33550,53700
0513599999,05135,64400,33550,53700
0513799999,05137,56800,33550,53700
0513999999,05139,72300,36150,57850
0514199999,05141,64000,33550,53700
0514399999,05143,101800,50900,81450
0514599999,05145,76600,38300,61300
0514799999,05147,68500,34250,54800
0514999999,05149,76100,37400,59850
0600199999,06001,159800,79900,125050
0600399999,06003,129500,57700,92300
0600599999,06005,109900,54950,87900
0600799999,06007,90700,46950,75100
0600999999,06009,101500,50750,81200
0601199999,06011,96400,48000,76750
0601399999,06013,159800,79900,125050
0601599999,06015,91000,46950,75100
0601799999,06017,120800,64300,102900
0601999999,06019,88500,46950,75100
0602199999,06021,87700,46950,75100
0602399999,06023,80100,46950,75100
0602599999,06025,73100,46950,75100
0602799999,06027,97200,48000,76750
0602999999,06029,81700,46950,75100
0603199999,06031,84300,46950,75100
0603399999,06033,85200,46950,75100
0603599999,06035,84300,46950,75100
0603799999,06037,106600,75750,121150
0603999999,06039,80800,46950,75100
0604199999,06041,185700,96700,154700
0604399999,06043,88800,46950,75100
0604599999,06045,83700,46950,75100
0604799999,06047,84000,46950,75100
0604999999,06049,67900,46950,75100
0605199999,06051,118500,51050,81700
0605399999,06053,104500,72300,115700
0605599999,06055,146700,80150,128150
0605799999,06057,124600,56900,91000
0605999999,06059,136600,84600,135350
0606199999,06061,120800,64300,102900
0606399999,06063,95300,47650,76250
0606599999,06065,103900,55950,89500
0606799999,06067,120800,64300,102900
0606999999,06069,133900,66800,106950
0607199999,06071,103900,55950,89500
0607399999,06073,130800,82700,132400
0607599999,06075,185700,96700,154700
0607799999,06077,104600,52300,83700
0607999999,06079,120900,69500,111300
0608199999,06081,185700,96700,154700
0608399999,06083,113300,88250,141200
0608599999,06085,195200,100450,159550
0608799999,06087,132800,98900,158700
0608999999,06089,101800,48650,77850
0609199999,06091,81100,46950,75100
0609399999,06093,77300,46950,75100
0609599999,06095,124600,68700,109900
0609799999,06097,132000,75500,120900
0609999999,06099,98500,49250,78800
0610199999,06101,98900,48000,76750
0610399999,06103,76800,46950,75100
0610599999,06105,79500,46950,75100
0610799999,06107,82100,46950,75100
0610999999,06109,101600,50800,81300
0611199999,06111,131300,74850,119750
0611399999,06113,135900,62950,100700
0611599999,06115,98900,48000,76750
0800199999,08001,140100,70050,104200
0800399999,08003,67900,51000,81600
0800599999,08005,140100,70050,104200
0800799999,08007,95300,51000,81600
0800999999,08009,61500,51000,81600
0801199999,08011,68400,51000,81600
0801399999,08013,150600,75300,104200
0801499999,08014,140100,70050,104200
0801599999,08015,103000,51400,82250
0801799999,08017,87000,51000,81600
0801999999,08019,140100,70050,104200
0802199999,08021,71200,51000,81600
0802399999,08023,60000,51000,81600
0802599999,08025,71300,51000,81600
0802799999,08027,86500,51000,81600
