state_code,state_name,county_name,town_name,fips_code,metro_name,metro_status,br0_fmr,br1_fmr,br2_fmr,br3_fmr,br4_fmr,year,display_name
AL,Alabama,Autauga County,,0100199999,"Montgomery, AL MSA",0,640.0,766.0,908.0,1148.0,1520.0,2021,Autauga County
AL,Alabama,Baldwin County,,0100399999,"Daphne-Fairhope-Foley, AL MSA",0,718.0,723.0,922.0,1249.0,1584.0,2021,Baldwin County
AL,Alabama,Barbour County,,0100599999,"Barbour County, AL",0,488.0,492.0,648.0,806.0,907.0,2021,Barbour County
AL,Alabama,Bibb County,,0100799999,"Birmingham-Hoover, AL HUD Metro FMR Area",0,817.0,871.0,1002.0,1303.0,1409.0,2021,Bibb County
AL,Alabama,Blount County,,0100999999,"Birmingham-Hoover, AL HUD Metro FMR Area",0,817.0,871.0,1002.0,1303.0,1409.0,2021,Blount County
AL,Alabama,Bullock County,,0101199999,"Bullock County, AL",0,532.0,549.0,705.0,877.0,1034.0,2021,Bullock County
AL,Alabama,Butler County,,0101399999,"Butler County, AL",0,479.0,556.0,634.0,789.0,930.0,2021,Butler County
AL,Alabama,Calhoun County,,0101599999,"Anniston-Oxford-Jacksonville, AL MSA",0,482.0,549.0,723.0,944.0,1094.0,2021,Calhoun County
AL,Alabama,Chambers County,,0101799999,"Chambers County, AL",0,534.0,620.0,744.0,956.0,1046.0,2021,Chambers County
AL,Alabama,Cherokee County,,0101999999,"Cherokee County, AL",0,479.0,481.0,634.0,877.0,880.0,2021,Cherokee County
AL,Alabama,Chilton County,,0102199999,"Chilton County, AL HUD Metro FMR Area",0,595.0,625.0,713.0,1020.0,1061.0,2021,Chilton County
AL,Alabama,Choctaw County,,0102399999,"Choctaw County, AL",0,479.0,481.0,634.0,789.0,910.0,2021,Choctaw County
AL,Alabama,Clarke County,,0102599999,"Clarke County, AL",0,479.0,493.0,634.0,907.0,930.0,2021,Clarke County
AL,Alabama,Clay County,,0102799999,"Clay County, AL",0,479.0,556.0,634.0,868.0,1060.0,2021,Clay County
AL,Alabama,Cleburne County,,0102999999,"Cleburne County, AL",0,479.0,481.0,634.0,892.0,968.0,2021,Cleburne County
AL,Alabama,Coffee County,,0103199999,"Coffee County, AL",0,522.0,551.0,692.0,990.0,1184.0,2021,Coffee County
AL,Alabama,Colbert County,,0103399999,"Florence-Muscle Shoals, AL MSA",0,525.0,580.0,748.0,943.0,1213.0,2021,Colbert County
AL,Alabama,Conecuh County,,0103599999,"Conecuh County, AL",0,479.0,532.0,634.0,907.0,930.0,2021,Conecuh County
AL,Alabama,Coosa County,,0103799999,"Coosa County, AL",0,520.0,523.0,689.0,857.0,1011.0,2021,Coosa County
AL,Alabama,Covington County,,0103999999,"Covington County, AL",0,479.0,499.0,634.0,846.0,1044.0,2021,Covington County
